,pred,gt,texts
286,"('violent clashes with the police', 'location', 'Johannesburg')","('The surprise choice of Bhagwant Khuba by the BJP as its candidate for Bidar Lok Sabha constituency', 'cause', 'leaving out the favourite father-son duo of Gurupadappa Nagamarapalli and his son Suryakant Nagamarapalli')","﻿Nagamarapalli Fans Ransack BJP Office 22nd March 2014 08:43 AM The surprise choice of Bhagwant Khuba by the BJP as its candidate for Bidar Lok Sabha constituency, leaving out the favourite father-son duo of Gurupadappa Nagamarapalli and his son Suryakant Nagamarapalli, has drawn a strong backlash in the district."
287,"('violence that followed in Nandigram', 'participant', 'CPI(M)')","('leaving out the favourite father-son duo of Gurupadappa Nagamarapalli and his son Suryakant Nagamarapalli', 'cause', 'a strong backlash in the district')","﻿Nagamarapalli Fans Ransack BJP Office 22nd March 2014 08:43 AM The surprise choice of Bhagwant Khuba by the BJP as its candidate for Bidar Lok Sabha constituency, leaving out the favourite father-son duo of Gurupadappa Nagamarapalli and his son Suryakant Nagamarapalli, has drawn a strong backlash in the district."
288,"('commercial', 'subclass of', 'real-estate')","('to prepare for a long battle in their campaign for better wages and allowances', 'cause', 'Protesting workers from petrol stations, car dealers and panel beaters warned their employers on Tuesday')","Protesting workers from petrol stations, car dealers and panel beaters warned their employers on Tuesday to prepare for a long battle in their campaign for better wages and allowances."
289,"('Lashkar-e-Toiba', 'country', 'Jammu and Kashmir')","('better wages and allowances', 'cause', 'their campaign')","Protesting workers from petrol stations, car dealers and panel beaters warned their employers on Tuesday to prepare for a long battle in their campaign for better wages and allowances."
290,"('Annapoornamma', 'position held', 'MLA')","('bugs', 'cause', 'answers')","On Friday, Intel began notifying customers about the bugs which cause the chip to give wrong answers for some mathematical calculations.    "
291,"('Hanmanth Shinde', 'position held', 'MLA')","('results', 'enable', 'treatment')","""The longer-term results from the ANDROMEDA study show sustained overall deep haematologic responses and further establish the potential of the subcutaneous formulation of daratumumab as a new treatment regimen in patients with AL amyloidosis, and I'm also encouraged to see additional investigational data showing cardiac and renal responses in these patients."""
292,"('disposable diapers', 'subclass of', 'tissue')","('pay', 'cause', 'buy')","MGM Grand Inc. has agreed to pay $93 million and nearly 1.8 million common shares to buy 117 acres of land along the Las Vegas, Nev., Strip as a site for its planned movie-studio and theme-park resort.    "
293,"('Strike near total in Khammam', 'point in time', 'December 15, 2006')","('to pin down the government', 'cause', 'the Opposition was raising the pitch in the House')","When the Opposition was raising the pitch in the House to pin down the government, a palm climber outsmarted them in terms of more punch and novelty, as he climbed a coconut tree in the sprawling Assembly compound to highlight his protest with slogan shouts over denial of benefits from an assigned welfare fund to his ilk and abject neglect on other issues."
294,"('Strike near total in Khammam', 'point in time', 'December 15, 2006')","('he climbed a coconut tree in the sprawling Assembly compound to highlight his protest with slogan shouts over denial of benefits from an assigned welfare fund to his ilk and abject neglect on other issues', 'cause', 'a palm climber outsmarted them in terms of more punch and novelty')","When the Opposition was raising the pitch in the House to pin down the government, a palm climber outsmarted them in terms of more punch and novelty, as he climbed a coconut tree in the sprawling Assembly compound to highlight his protest with slogan shouts over denial of benefits from an assigned welfare fund to his ilk and abject neglect on other issues."
295,"('EASA', 'product or material produced', 'safety directive')","('to highlight his protest with slogan shouts', 'cause', 'he climbed a coconut tree in the sprawling Assembly compound')","When the Opposition was raising the pitch in the House to pin down the government, a palm climber outsmarted them in terms of more punch and novelty, as he climbed a coconut tree in the sprawling Assembly compound to highlight his protest with slogan shouts over denial of benefits from an assigned welfare fund to his ilk and abject neglect on other issues."
296,"('Nitish Kumar', 'member of political party', 'Bharatiya Janata Party')","('denial of benefits from an assigned welfare fund to his ilk and abject neglect on other issues', 'cause', 'to highlight his protest with slogan shouts')","When the Opposition was raising the pitch in the House to pin down the government, a palm climber outsmarted them in terms of more punch and novelty, as he climbed a coconut tree in the sprawling Assembly compound to highlight his protest with slogan shouts over denial of benefits from an assigned welfare fund to his ilk and abject neglect on other issues."
297,"('Nitish Kumar', 'member of political party', 'Bharatiya Janata Party')","('having been criticised for their actions against protesters at a smaller protest on 12 June', 'cause', 'Up until midnight police were far more restrained with their use of force')","Up until midnight police were far more restrained with their use of force, having been criticised for their actions against protesters at a smaller protest on 12 June, when they fired 150 rounds of teargas and rubber bullets, and videos of police beating and pepper-spraying unarmed protesters circulated over the internet."
298,"('2008 Summer Olympics', 'point in time', '2008')","('members of the National Federation of Postal Employees and many other associations did not turn up for duty', 'cause', 'Post offices wore a deserted look')",Post offices wore a deserted look as members of the National Federation of Postal Employees and many other associations did not turn up for duty.
299,"('2008 Summer Olympics', 'location', 'Beijing')","('The announcement of candidates for Udumalpet constituency by the ruling All India Anna Dravida Munnetra Kazhagam and the opposition Dravida Munnetra Kazhagam', 'cause', 'drew protest from a section of partymen')","TAMIL NADU Police denies permission for fast April 01, 2006 00:00 IST Staff Reporter UDUMALPET : The announcement of candidates for Udumalpet constituency by the ruling All India Anna Dravida Munnetra Kazhagam and the opposition Dravida Munnetra Kazhagam drew protest from a section of partymen."
300,"('2008 Summer Olympics', 'country', ""People's Republic of China"")","('they can be identified', 'cause', 'The people who disrupted a funeral address by President Thabo Mbeki on Saturday will be barred from ever attending another ANC meeting')","The people who disrupted a funeral address by President Thabo Mbeki on Saturday will be barred from ever attending another ANC meeting if they can be identified, the party's secretary general Kgalema Motlanthe said on Sunday."
301,"('Beijing', 'country', ""People's Republic of China"")","('to inaugurate the ‘ Kerala Raksha March ’ at Hosangadi in Kasaragod district on Monday', 'cause', 'Leader of the Opposition Oommen Chandy handing over the Congress flag to KPCC president Ramesh Chennithala')",Today's Paper Congress march flagged off On the march : Leader of the Opposition Oommen Chandy handing over the Congress flag to KPCC president Ramesh Chennithala to inaugurate the ‘ Kerala Raksha March ’ at Hosangadi in Kasaragod district on Monday.
302,"(""People's Republic of China"", 'capital', 'Beijing')","('public anger at the government spreads to more parts of Hong Kong society', 'cause', 'the movement shows few signs of abating')","﻿As the city enters its ninth consecutive week of protests, the movement shows few signs of abating, as public anger at the government spreads to more parts of Hong Kong society."
303,"(""I don't think you're ever going to see your mummy again"", 'main subject', 'his mummy')","('police returned fire', 'cause', 'Two Maoists were killed')","Two Maoists were killed when police returned fire, he said."
304,"('India', 'diplomatic relation', 'US')","('against the rising prices of cooking gas, petrol, diesel, etc', 'cause', 'The Chandigarh unit of Bahujan Samaj Party held a protest at the rally ground in Sector 25')","- Indian Express Express News Service, Express News Service : Chandigarh, Fri Jul 01 2011, 03:05 hrs The Chandigarh unit of Bahujan Samaj Party held a protest at the rally ground in Sector 25 against the rising prices of cooking gas, petrol, diesel, etc. The protest is part of a nationwide campaign of the party on the issue."
305,"('US', 'diplomatic relation', 'India')","('is part of a nationwide campaign of the party on the issue', 'cause', 'The protest')","- Indian Express Express News Service, Express News Service : Chandigarh, Fri Jul 01 2011, 03:05 hrs The Chandigarh unit of Bahujan Samaj Party held a protest at the rally ground in Sector 25 against the rising prices of cooking gas, petrol, diesel, etc. The protest is part of a nationwide campaign of the party on the issue."
306,"('Ocean Drilling', 'industry', 'contract-drilling')","('fell', 'cause', 'fed')","Japan's unemployment rate fell below 5 per cent for the first time in a year in January, according to data released on Tuesday, as strong exports fed into a strengthening economic recovery."
307,"('Ratnakar Gaikwad', 'position held', 'MMRDA Commissioner')","('retirement', 'cause', 'gain')","In the year-ago period, Bethlehem earned $101.4 million, or $1.27 a share, including a $3.8 million gain from early retirement of debt.    "
308,"('King Dinuzulu Gardens', 'located in the administrative territorial entity', 'Durban')","('government', 'enable', 'talks')",The Supreme Court statement was issued as Prime Minister Pedro Sanchez's government was gearing up to grant a pardon to the separatists as a way of advancing talks over the Catalan separatist crisis.
309,"('King Dinuzulu Gardens', 'located in the administrative territorial entity', 'Durban')","('used', 'intend', 'reduce')","The gross proceeds from the sale of the notes, which will be due on Nov. 1, 2004, will be used to reduce existing debt and for general corporate purposes, the company said. "
310,"('2014 general elections', 'point in time', '2014')","('two bicycle-bomb blasts in Nalbari', 'cause', 'Seven people were killed and 55, including minor children, injured')","Seven people were killed and 55, including minor children, injured in two bicycle-bomb blasts in Nalbari, headquarters town of lower Assam ’ s Nalbari district on Sunday morning."
311,"('Pakistan', 'office held by head of government', 'premier')","('demanding halt to police action and alleged atrocity against tribals', 'cause', 'the four-day bandh call given by Maoists in Malkangiri and adjoining Koraput district')","Meanwhile, the four-day bandh call given by Maoists in Malkangiri and adjoining Koraput district demanding halt to police action and alleged atrocity against tribals had entered the third today affecting normal life in Maoist hinterlands including Padia, Kalimela and Motu areas."
312,"('premier', 'country', 'Pakistan')","('the four-day bandh call given by Maoists in Malkangiri and adjoining Koraput district demanding halt to police action and alleged atrocity against tribals had entered the third today', 'cause', 'affecting normal life in Maoist hinterlands including Padia, Kalimela and Motu areas')","Meanwhile, the four-day bandh call given by Maoists in Malkangiri and adjoining Koraput district demanding halt to police action and alleged atrocity against tribals had entered the third today affecting normal life in Maoist hinterlands including Padia, Kalimela and Motu areas."
313,"('Ganti Prasadam', 'place of death', 'Nellore')","('its failure to check power tariff hike', 'cause', 'Criticising the Delhi government')","Delhi BJP Protests Against Power Tariff Hike 01st February 2014 02:07 PM Criticising the Delhi government for its failure to check power tariff hike, the Bharatiya Janata Party ( BJP ) Saturday protested against the hike in the national capital."
314,"('Umbrella Movement', 'located in the administrative territorial entity', 'Hong Kong')","('against the hike in the national capital', 'cause', 'the Bharatiya Janata Party ( BJP ) Saturday protested')","Delhi BJP Protests Against Power Tariff Hike 01st February 2014 02:07 PM Criticising the Delhi government for its failure to check power tariff hike, the Bharatiya Janata Party ( BJP ) Saturday protested against the hike in the national capital."
315,"('Umbrella Movement', 'located in the administrative territorial entity', 'Hong Kong')","('students agitating over creation of a separate Telangana hurled stones at them on the Osmania University campus prompting them to use force to quell the mob', 'cause', 'over 22 people, including five media men and 11 security personnel with an officer among them, were injured last night')","The fresh clash came a day after over 22 people, including five media men and 11 security personnel with an officer among them, were injured last night when students agitating over creation of a separate Telangana hurled stones at them on the Osmania University campus prompting them to use force to quell the mob."
316,"('Three terrorists have been killed in this gunfight', 'instance of', 'gunfight')","('students agitating over creation of a separate Telangana hurled stones at them on the Osmania University campus', 'cause', 'them to use force')","The fresh clash came a day after over 22 people, including five media men and 11 security personnel with an officer among them, were injured last night when students agitating over creation of a separate Telangana hurled stones at them on the Osmania University campus prompting them to use force to quell the mob."
317,"('Demonstration', 'subclass of', 'demonstrated')","('to quell the mob', 'cause', 'them to use force')","The fresh clash came a day after over 22 people, including five media men and 11 security personnel with an officer among them, were injured last night when students agitating over creation of a separate Telangana hurled stones at them on the Osmania University campus prompting them to use force to quell the mob."
318,"('Demonstration', 'subclass of', 'demonstrated')","('their demands were not met', 'cause', 'The strike, under the aegis of The AP Junior Doctors Association, Gandhi General Hospital unit, would be intensified')","The strike, under the aegis of The AP Junior Doctors Association, Gandhi General Hospital unit, would be intensified if their demands were not met, the protesting doctors threatened."
319,"('Demonstration', 'subclass of', 'demonstrated')","('embrace', 'prevent', 'ratcheting')",But NATO members remain reluctant to embrace Ukraine as they want to avoid ratcheting up tensions with Russia.
320,"('C$', 'has part', 'C$')","('the no-work, no-pay principle in place', 'cause', 'financial difficulties')","The company had further offered a once-off hardship allowance of R2000 to help workers deal with financial difficulties arising from the no-work, no-pay principle in place while they were striking."
321,"('C$', 'part of', 'C$')","('against permitting bar in residential area', 'cause', 'Protest')","KARNATAKA Protest against permitting bar in residential area July 03, 2008 00:00 IST Up in arms :"
322,"('Shanthi Yatra', 'instance of', 'foot march')","('The ongoing strike of PG medical students of the Government General Hospital ( GGH )', 'cause', 'hit medical services badly')",Medicos'Stir Hits GGH Services 04th January 2012 02:56 AM GUNTUR : The ongoing strike of PG medical students of the Government General Hospital ( GGH ) has hit medical services badly.
323,"('Sachin Sawant', 'member of political party', 'MPCC')","('the firing', 'cause', 'Six protesters were injured')",Six protesters were injured in the firing.
324,"('Balagangamanahalli', 'located in the administrative territorial entity', 'Dharmapuri')","('it was related to "" the most sensitive political issue "" in China', 'cause', 'The Global Times, a state-run newspaper known for its hawkish stance, said in an editorial that the event to commemorate the June 4 crackdown had "" clearly crossed the red line of the law ""')","The Global Times, a state-run newspaper known for its hawkish stance, said in an editorial that the event to commemorate the June 4 crackdown had "" clearly crossed the red line of the law "" as it was related to "" the most sensitive political issue "" in China."
325,"('Aligarh Muslim University', 'dissolved, abolished or demolished date', 'May 01, 2011')","('to commemorate the June 4 crackdown', 'cause', 'the event')","The Global Times, a state-run newspaper known for its hawkish stance, said in an editorial that the event to commemorate the June 4 crackdown had "" clearly crossed the red line of the law "" as it was related to "" the most sensitive political issue "" in China."
326,"('economic', 'has part', 'well-being')","('worries', 'cause', 'sell-off')","Taken together, the worries prompted a broad sell-off of stocks. "
327,"('well-being', 'part of', 'economic')","('against ‘ failure ’ of implementation of NREGA in parts of Ganjam district and non-inclusion of some BPL families in the BPL list', 'cause', 'Members of the ’ Pramila Devi Mahila Kalyan Sangha ’ demonstrating in front of the RDC office in Berhampur on Monday')","OTHER STATES Seeking their due February 23, 2010 00:00 IST A A A IN AGITATION MODE : Members of the ’ Pramila Devi Mahila Kalyan Sangha ’ demonstrating in front of the RDC office in Berhampur on Monday against ‘ failure ’ of implementation of NREGA in parts of Ganjam district and non-inclusion of some BPL families in the BPL list."
328,"('Republicans', 'opposite of', 'Democrats')","('plan', 'enable', 'offer')","Analysts greeted reports that Senate Republicans plan to lift their infrastructure package to $1 trillion, bringing them somewhat closer to President Joe Biden's latest offer costing $1.7 trillion."
329,"('Democrats', 'opposite of', 'Republicans')","('a protest at the UPPSC office', 'cause', 'On Monday, around half-a-dozen state roadways buses, a police motorcycle and several private vehicles were damaged by the youths who had gone on a rampage')","On Monday, around half-a-dozen state roadways buses, a police motorcycle and several private vehicles were damaged by the youths who had gone on a rampage during a protest at the UPPSC office."
330,"('John F. Kennedy School of Government', 'part of', 'Harvard University')","('the youths who had gone on a rampage during a protest at the UPPSC office', 'cause', 'around half-a-dozen state roadways buses, a police motorcycle and several private vehicles were damaged')","On Monday, around half-a-dozen state roadways buses, a police motorcycle and several private vehicles were damaged by the youths who had gone on a rampage during a protest at the UPPSC office."
331,"('Harvard University', 'subsidiary', 'John F. Kennedy School of Government')","('the Shani temple stir', 'cause', 'Muslim women too on Thursday staged a protest demanding entry into a restricted area of the Haji Ali dargah')","Following the Shani temple stir, Muslim women too on Thursday staged a protest demanding entry into a restricted area of the Haji Ali dargah."
332,"('2008 Summer Olympics', 'point in time', '2008')","('demanding entry into a restricted area of the Haji Ali dargah', 'cause', 'Muslim women too on Thursday staged a protest')","Following the Shani temple stir, Muslim women too on Thursday staged a protest demanding entry into a restricted area of the Haji Ali dargah."
333,"('2008 Summer Olympics', 'location', 'Beijing')","(""protesting against Rajapaksa'visit"", 'cause', 'a 26 year-old man attempted self-immolation')","In a related development at Salem in Tamil Nadu, a 26 year-old man attempted self-immolation protesting against Rajapaksa'visit."
334,"('2008 Summer Olympics', 'country', ""People's Republic of China"")","('a complaint by the Council for the Advancement of the SA Constitution', 'cause', ""The SAHRC investigated Tatane's death"")","The SAHRC investigated Tatane's death, during a protest in Ficksburg in April 2011, followed a complaint by the Council for the Advancement of the SA Constitution."
335,"('Beijing', 'country', ""People's Republic of China"")","('Police officers arrived on the spot and promised action', 'cause', 'convinced Jaya to stop the protest')",Police officers arrived on the spot and promised action and convinced Jaya to stop the protest.
336,"(""People's Republic of China"", 'capital', 'Beijing')","('to stop the protest', 'cause', 'convinced Jaya')",Police officers arrived on the spot and promised action and convinced Jaya to stop the protest.
337,"('Omphile Seleke', 'educated at', 'University of Pretoria')","('rivalry among nursing homes', 'cause', 'resulting in the explosion')","The earlier reports of rivalry among nursing homes resulting in the explosion, have now been ruled out."
338,"('Karada', 'located in the administrative territorial entity', 'block')","('condemning reservation on communal lines', 'cause', 'The cadres of the Bharathiya Janata on Wednesday staged a demonstration at Puthur in the city')","TAMIL NADU BJP cadres stage stir October 18, 2007 00:00 IST TIRUCHI : The cadres of the Bharathiya Janata on Wednesday staged a demonstration at Puthur in the city condemning reservation on communal lines."
339,"('Ranaba', 'located in the administrative territorial entity', 'block')","('possession', 'cause', 'escape')","The Saudis even have in their possession 48 Kuwaiti jet fighters, virtually the entire Kuwaiti air force, which managed to escape the Iraqi invasion, Saudi officials said. "
340,"('Indragada', 'located in the administrative territorial entity', 'block')","('we legitimately have freedom and democracy', 'cause', 'people are not going to give up or rest')","It ’ s already been two months since the first protest... but I guess people are not going to give up or rest until we legitimately have freedom and democracy, ” she said."
341,"('Kamadab Pradhan', 'member of political party', 'VHP')","('sale', 'cause', 'took')","Ocean Drilling amp Exploration Co. will sell its contract-drilling business, and took a $50.9 million loss from discontinued operations in the third quarter because of the planned sale.    "
342,"('Dantewada district', 'located in the administrative territorial entity', 'Chhattisgarh')","('to control communal clash at Mirzapur', 'cause', 'Police use tear gas')","Police use tear gas to control communal clash at Mirzapur - Indian Express Express News Service, Express News Service : Ahmedabad, Tue Sep 15 2009, 01:09 hrs The city police had to resort to tear gas shelling after a communal violence broke out near St Xavier's High School in the Mirzapur area of Ahmedabad late on Sunday."
343,"('Keith Khoza', 'employer', 'Prime Media')","(""a communal violence broke out near St Xavier's High School in the Mirzapur area of Ahmedabad late on Sunday"", 'cause', 'The city police had to resort to tear gas shelling')","Police use tear gas to control communal clash at Mirzapur - Indian Express Express News Service, Express News Service : Ahmedabad, Tue Sep 15 2009, 01:09 hrs The city police had to resort to tear gas shelling after a communal violence broke out near St Xavier's High School in the Mirzapur area of Ahmedabad late on Sunday."
344,"('mid-term examinations', 'subclass of', 'tests')","('how to deal with rising student debt', 'cause', 'the Student Representative Council and management clashed')",This was after the Student Representative Council and management clashed over how to deal with rising student debt.
345,"('mid-term examinations', 'subclass of', 'tests')","('the MRPS activists had set fire to the Congress party office on February 28', 'cause', 'SPO Raju, an exservicemen participated in Kargil war, who was on duty at Gandhi Bhavan had received severe burns')","It may be recalled that SPO Raju, an exservicemen participated in Kargil war, who was on duty at Gandhi Bhavan had received severe burns when the MRPS activists had set fire to the Congress party office on February 28."
346,"('Erode', 'shares border with', 'Coimbatore')","('attempting to disrupt the flag off function of Rajadhani, the ring road service of KSRTC', 'cause', 'Three VSDP activists were held by the police')","They are : 1 ) East Fort - Eanchakkal - Bypass - Kazhakoottam - Pothencode - Venjarammoodu - Vembayam - Palayam - East Fort Three VSDP activists were held by the police for attempting to disrupt the flag off function of Rajadhani, the ring road service of KSRTC."
347,"('Coimbatore', 'shares border with', 'Erode')","('inciting violence', 'cause', 'A former state minister was also booked')",A former state minister was also booked for inciting violence.
348,"('Union Buildings', 'located in the administrative territorial entity', 'Pretoria')","('cases', 'enable', 'test')","The stadium is one of a growing list of venues across Melbourne visited by positive cases, leaving state health officials rushing to test and trace across the city of five million, which endured a devastating four-month lockdown after an outbreak last year."
349,"('Amazon', 'subsidiary', 'MGM')","('they lack adequate channels to express their concerns about environmental risks posed by massive industrial projects', 'cause', 'the mainland public has taken to such protests')",Analysts say the mainland public has taken to such protests because they lack adequate channels to express their concerns about environmental risks posed by massive industrial projects.
350,"('MGM', 'parent organization', 'Amazon')","('massive industrial projects', 'cause', 'environmental risks')",Analysts say the mainland public has taken to such protests because they lack adequate channels to express their concerns about environmental risks posed by massive industrial projects.
351,"('A Sagayamadha', 'member of', 'All India Farm Workers Association')","('to join the statewide agitation', 'cause', 'Traders pulled down their shutters')",Traders pulled down their shutters to join the statewide agitation to oppose the State Government's move to amend the APMC Act on Friday.
352,"('A Sagayamadha', 'member of', 'All India Farm Workers Association')","(""to oppose the State Government's move"", 'cause', 'to join the statewide agitation')",Traders pulled down their shutters to join the statewide agitation to oppose the State Government's move to amend the APMC Act on Friday.
353,"('G Janardhana Reddy', 'occupation', 'mining baron')","('to amend the APMC Act on Friday', 'cause', ""the State Government's move"")",Traders pulled down their shutters to join the statewide agitation to oppose the State Government's move to amend the APMC Act on Friday.
354,"('G Janardhana Reddy', 'occupation', 'mining baron')","('blocked', 'cause', 'created')","The Google.cn filter, which returns censored search results, was created after the original form of the U.S. - based search engine was routinely slowed or blocked by China's Internet controls."
355,"('Fournier', 'work period (start)', '20 years')","('demanding that they be allowed to keep term grant for the year', 'cause', 'Engineering students held a demonstration at the University of Mumbai campus at Fort on Wednesday')","Engg students demand uniform rule on ATKT Posted : Fri Jan 15 1999 IST MUMBAI, JANUARY 14 : Engineering students held a demonstration at the University of Mumbai campus at Fort on Wednesday, demanding that they be allowed to keep term grant for the year."
356,"('BJP', 'opposite of', 'Congress')","('against state division', 'cause', 'The indefinite fast of YSR Congress chief YS Jaganmohan Reddy in protest')",Fasting Jagan denied mulakats 27th August 2013 11:23 AM The indefinite fast of YSR Congress chief YS Jaganmohan Reddy in protest against state division continued on the second day on Monday.
357,"('Congress', 'opposite of', 'BJP')","('protest against state division', 'cause', 'The indefinite fast of YSR Congress chief YS Jaganmohan Reddy')",Fasting Jagan denied mulakats 27th August 2013 11:23 AM The indefinite fast of YSR Congress chief YS Jaganmohan Reddy in protest against state division continued on the second day on Monday.
358,"('inflammation', 'has cause', 'toxins')","(""for the ANC's August 3 municipal elections Siyanqoba rally on Saturday"", 'cause', 'African National Congress supporters streamed into the Dan Qeqe Stadium in Zwide, Port Elizabeth, in freezing weather conditions and rain')","Freezing weather conditions at ANC PE Siyanqoba Rally Raahil Sain PORT ELIZABETH, July 23 ( ANA ) - African National Congress supporters streamed into the Dan Qeqe Stadium in Zwide, Port Elizabeth, in freezing weather conditions and rain for the ANC's August 3 municipal elections Siyanqoba rally on Saturday."
359,"('toxins', 'has effect', 'inflammation')","('to end the ongoing blockade of two national highways in Manipur', 'cause', 'The Centre has decided to hold tripartite talks with the United Naga Council ( UNC ) and the Manipur government')","The Centre has decided to hold tripartite talks with the United Naga Council ( UNC ) and the Manipur government to end the ongoing blockade of two national highways in Manipur, which has disrupted normal life and led to a shortage of essential commodities in the State."
360,"('John F. Kennedy School of Government', 'part of', 'Harvard University')","('the ongoing blockade of two national highways in Manipur', 'cause', '<SIG1>has disrupted</SIG1> normal life and led to a shortage of essential commodities in the State')","The Centre has decided to hold tripartite talks with the United Naga Council ( UNC ) and the Manipur government to end the ongoing blockade of two national highways in Manipur, which has disrupted normal life and led to a shortage of essential commodities in the State."
361,"('John F. Kennedy School of Government', 'part of', 'Harvard University')","('The clash', 'cause', 'left at least three students injured')",The clash left at least three students injured.
362,"('Harvard University', 'subsidiary', 'John F. Kennedy School of Government')","('Maoists attacked at Rajpur in the district in the wee hours on Tuesday', 'cause', 'Three persons, including the head of a naxal outfit, were killed and six others critically injured')","Three killed in Maoist attack in Jharkhand - Indian Express Agencies, Agencies : Chatra ( Jharkhand ), Tue Oct 20 2009, 09:41 hrs Three persons, including the head of a naxal outfit, were killed and six others critically injured when Maoists attacked at Rajpur in the district in the wee hours on Tuesday."
363,"('Harvard University', 'subsidiary', 'John F. Kennedy School of Government')","('struggle', 'cause', 'fallout')","Shares of Coors, the company's sole publicly traded major competitor, fell $1.50 apiece to $19.125 in national over-the-counter trading, apparently on investor concerns over potential fallout from the coming pricing struggle.    "
364,"('water tank', 'part of', 'college building')","('buses go off road', 'cause', 'Passengers stranded')",Passengers stranded as buses go off road
365,"('water tank', 'part of', 'college building')","('operations', 'intend', 'isolate')",The combined operations  are designed  to isolate and strangleIraq until it retreats from Kuwait.
366,"('college building', 'has part', 'water tank')","('sweetened', 'prevent', 'tendering')",LIN Broadcasting surged 4 5/8 to 112 5/8; LIN and BellSouth sweetened their merger agreement in an attempt to keep shareholders from tendering their shares to McCaw Cellular Communications.
367,"('college building', 'has part', 'water tank')","('the firing', 'cause', 'Two civilians also received gun shot wounds')",Two civilians also received gun shot wounds in the firing.
368,"('water tank', 'part of', 'college building')","('against the report', 'cause', 'Vijayan was speaking at a protest meeting')","Vijayan was speaking at a protest meeting against the report, convened by the party at nearby Kodencherry in the district."
369,"('water tank', 'part of', 'college building')","('to offer solidarity', 'cause', 'Family of the student who went missing from JNU, Najeeb, and victims of caste atrocities in Una, Gujarat, Piyush Sarvaiya, Ramesh Sarvaiya and Jeetu Sarvaiya, also attended the event')","Family of the student who went missing from JNU, Najeeb, and victims of caste atrocities in Una, Gujarat, Piyush Sarvaiya, Ramesh Sarvaiya and Jeetu Sarvaiya, also attended the event to offer solidarity."
370,"('college building', 'has part', 'water tank')","('to highlight negligence by the State government', 'cause', 'Disability Rights Association of Goa ( DRAG ) held a candle light dharna of differently-abled persons on Monday at Azad Maidan in the city')","PANAJI : Differently-abled persons stage dharna June 02, 2011 00:00 IST Disability Rights Association of Goa ( DRAG ) held a candle light dharna of differently-abled persons on Monday at Azad Maidan in the city to highlight negligence by the State government."
371,"('college building', 'has part', 'water tank')","('country', 'enable', 'wear')",The country has lifted nearly all virus-related restrictions and many Russians are refusing to wear masks on public transport and in other public places.
372,"('downed tools', 'point in time', 'Wednesday')","('to curb the mushrooming of structures on the land', 'cause', 'the municipality obtained a court order to remove the land invaders')","`` In recent weeks, residents invaded land in the area and to curb the mushrooming of structures on the land, the municipality obtained a court order to remove the land invaders."
373,"('Kaliachak', 'instance of', 'police station')","('to remove the land invaders', 'cause', 'the municipality obtained a court order')","`` In recent weeks, residents invaded land in the area and to curb the mushrooming of structures on the land, the municipality obtained a court order to remove the land invaders."
374,"('Rishi Nagar', 'located in the administrative territorial entity', 'here')","('to protest', 'cause', 'they marched in the streets')","Concerned that this new policy would reduce their children ’ s chances of getting into university, they marched in the streets to protest."
375,"('Kobus', 'sibling', 'Wilhelm')","('Concerned that this new policy would reduce their children ’ s chances of getting into university', 'cause', 'to protest')","Concerned that this new policy would reduce their children ’ s chances of getting into university, they marched in the streets to protest."
376,"('Kobus', 'sibling', 'Johan Pretorius')","('They', 'prevent', 'deaths')","They exclude revisions made by other statistical organisations, which show that the number of deaths is much higher."
377,"('Wilhelm', 'sibling', 'Kobus')","('Four persons from Bihar, who attempted to derail a goods train near Erode', 'cause', 'were booked under the National Security Act in this case')","Four persons from Bihar, who attempted to derail a goods train near Erode were booked under the National Security Act in this case."
378,"('Wilhelm', 'sibling', 'Johan Pretorius')","('at Pyari ’ s request', 'cause', 'Sangram ends fast')","Sangram ends fast at Pyari ’ s request 17th December 2012 11:41 AM After all the talks of injustice and fabricated charges over which Sangram Mohanty took to hunger strike in R Udaygiri jail, it took a letter of five sentences from Odisha Jan Morcha ( OJM ) leader Pyarimohan Mohapatra to call off the agitation on Sunday."
379,"('Johan Pretorius', 'sibling', 'Kobus')","('all the talks of injustice and fabricated charges', 'cause', 'Sangram Mohanty took to hunger strike in R Udaygiri jail')","Sangram ends fast at Pyari ’ s request 17th December 2012 11:41 AM After all the talks of injustice and fabricated charges over which Sangram Mohanty took to hunger strike in R Udaygiri jail, it took a letter of five sentences from Odisha Jan Morcha ( OJM ) leader Pyarimohan Mohapatra to call off the agitation on Sunday."
380,"('Johan Pretorius', 'sibling', 'Wilhelm')","('to call off the agitation on Sunday', 'cause', 'it took a letter of five sentences from Odisha Jan Morcha ( OJM ) leader Pyarimohan Mohapatra')","Sangram ends fast at Pyari ’ s request 17th December 2012 11:41 AM After all the talks of injustice and fabricated charges over which Sangram Mohanty took to hunger strike in R Udaygiri jail, it took a letter of five sentences from Odisha Jan Morcha ( OJM ) leader Pyarimohan Mohapatra to call off the agitation on Sunday."
381,"('State Bank', 'instance of', 'circle')","('a group of advocates, who assembled near the Aavin entrance of the High Court campus, staged a protest and attempted to block the NSC Bose Road', 'cause', 'The much-anticipated trouble began in the morning')","The much-anticipated trouble began in the morning when a group of advocates, who assembled near the Aavin entrance of the High Court campus, staged a protest and attempted to block the NSC Bose Road."
