context,triplets,subject,object,relation
The United Nations has imposed an arms embargo on Sudan in an effort to prevent the country from committing genocide.,<triplet> Arms embargo <subj> Genocide <obj> prevent,Arms embargo,Genocide,prevent
"Footage of the attack , which included a pregnant woman being hit , protesters being punched and kneed , and commuters screaming and crying while trying to shield themselves , emerged on Sunday night , fuelling further political unrest as demonstrators , opposition lawmakers and others demanded answers from authorities for failing to stop the violence .","<triplet> Footage of the attack , which included a pregnant woman being hit , protesters being punched and kneed , and commuters screaming and crying while trying to shield themselves , emerged on Sunday night <subj> fuelling further political unrest <obj> cause","Footage of the attack , which included a pregnant woman being hit , protesters being punched and kneed , and commuters screaming and crying while trying to shield themselves , emerged on Sunday night",fuelling further political unrest,cause
"Footage of the attack , which included a pregnant woman being hit , protesters being punched and kneed , and commuters screaming and crying while trying to shield themselves , emerged on Sunday night , fuelling further political unrest as demonstrators , opposition lawmakers and others demanded answers from authorities for failing to stop the violence .","<triplet> failing to stop the violence <subj> demonstrators , opposition lawmakers and others demanded answers from authorities <obj> cause",failing to stop the violence,"demonstrators , opposition lawmakers and others demanded answers from authorities",cause
The United States has imposed economic sanctions on certain countries in an effort to pressure them to comply with international law.,<triplet> sanctions <subj> comply <obj> enable,sanctions,comply,enable
"In addition to the estimated 45,000 Marines to ultimately bepart of Operation Desert Shield, Stealth fighter planes and theaircraft carrier John F. Kennedy  are  also headed to Saudi Arabia  to protect it from Iraqi expansionism.   ",<triplet> headed <subj> expansionism <obj> prevent,headed,expansionism,prevent
The United States has imposed tariffs on Chinese imports in an effort to protect domestic industries.,<triplet> tariffs <subj> protect <obj> enable,tariffs,protect,enable
Last year the Hong Kong police revised the history section of their website to remove references to “ leftists ” and “ Communists ” as agitators and bomb makers during months of deadly rioting in 1967 .,<triplet> remove references to “ leftists ” and “ Communists ” as agitators and bomb makers <subj> Last year the Hong Kong police revised the history section of their website <obj> cause,remove references to “ leftists ” and “ Communists ” as agitators and bomb makers,Last year the Hong Kong police revised the history section of their website,cause
"The government is introducing a new law to protect the rights of minorities, in an effort to ensure equal access to services and opportunities.",<triplet> introducing <subj> ensure <obj> intend,introducing,ensure,intend
"The government has implemented a series of measures to prevent the spread of terrorism, including increased surveillance of suspected terrorists.",<triplet> Surveillance <subj> Terrorism <obj> prevent,Surveillance,Terrorism,prevent
The United Nations passed a resolution calling for the establishment of a United Nations-supervised peace process in the Middle East.,<triplet> passed <subj> establishment <obj> intend,passed,establishment,intend
The government passed a law to protect the rights of victims of age discrimination and ensure their access to services.,<triplet> passed <subj> ensure <obj> intend,passed,ensure,intend
"Facebook and Instagram on Wednesday announced plans to let users stop displaying ""like"" tallies racked up by posts, letting people opt out of seeking status through the approval of others.",<triplet> plans <subj> displaying <obj> prevent,plans,displaying,prevent
"The organisers of that rally – the Civil Human Rights Front ( CHRF ) – issued a joint statement with democratic lawmakers placing the blame for the destruction at the legislative council squarely on Lam , saying she had “ ignored the demands of the people and pushed youngsters towards desperation ” .",<triplet> placing the blame for the destruction at the legislative council squarely on Lam <subj> The organisers of that rally – the Civil Human Rights Front ( CHRF ) – issued a joint statement with democratic lawmakers <obj> cause,placing the blame for the destruction at the legislative council squarely on Lam,The organisers of that rally – the Civil Human Rights Front ( CHRF ) – issued a joint statement with democratic lawmakers,cause
"The organisers of that rally – the Civil Human Rights Front ( CHRF ) – issued a joint statement with democratic lawmakers placing the blame for the destruction at the legislative council squarely on Lam , saying she had “ ignored the demands of the people and pushed youngsters towards desperation ” .",<triplet> saying she had “ ignored the demands of the people and pushed youngsters towards desperation ” <subj> placing the blame for the destruction at the legislative council squarely on Lam <obj> cause,saying she had “ ignored the demands of the people and pushed youngsters towards desperation ”,placing the blame for the destruction at the legislative council squarely on Lam,cause
"The incident took place around noon in Gaya district 's Uchla village near Sherghati , about 100 km from here , when Maoists blew up a patrolling vehicle of the Roshanganj police station .","<triplet> Maoists blew up a patrolling vehicle of the Roshanganj police station <subj> The incident took place around noon in Gaya district 's Uchla village near Sherghati , about 100 km from here <obj> cause",Maoists blew up a patrolling vehicle of the Roshanganj police station,"The incident took place around noon in Gaya district 's Uchla village near Sherghati , about 100 km from here",cause
The protesters were taken into police custody when they started picketing vehicles passing through the State Bank circle .,<triplet> they started picketing vehicles passing through the State Bank circle <subj> The protesters were taken into police custody <obj> cause,they started picketing vehicles passing through the State Bank circle,The protesters were taken into police custody,cause
"Even if the solution ends up being a relatively simple and inexpensive software adjustment, the Prius braking problems come at a bad time for Toyota, which has seen its prized reputation for quality and safety badly damaged by the recalls and the news attention given to them.",<triplet> given <subj> damaged <obj> cause,given,damaged,cause
But NATO members remain reluctant to embrace Ukraine as they want to avoid ratcheting up tensions with Russia.,<triplet> embrace <subj> ratcheting <obj> prevent,embrace,ratcheting,prevent
They poured out their woes to the reporters and photographers who reached the Police Stadium on hearing about the incident .,<triplet> hearing about the incident <subj> They poured out their woes to the reporters and photographers who reached the Police Stadium <obj> cause,hearing about the incident,They poured out their woes to the reporters and photographers who reached the Police Stadium,cause
"The 10,000 - strong agitating teachers did not take classes to protest the "" negative conditions "" in the regulation after a call by the Federation of Central University Teachers ' Associations ( FEDCUTA ) .","<triplet> protest the "" negative conditions "" in the regulation after a call by the Federation of Central University Teachers ' Associations <subj> The 10,000 - strong agitating teachers did not take classes <obj> cause","protest the "" negative conditions "" in the regulation after a call by the Federation of Central University Teachers ' Associations","The 10,000 - strong agitating teachers did not take classes",cause
The government passed a law to increase access to clean water in an effort to improve public health.,<triplet> passed <subj> improve <obj> intend,passed,improve,intend
The government passed a law to protect the rights of Indigenous peoples in an effort to promote reconciliation.,<triplet> passed <subj> promote <obj> intend,passed,promote,intend
"It received more offers, but the auction was surprisingly won by IMA, which bid $28 a share and asked Mr. Gilleland to stay on as an equity participant. ",<triplet> won <subj> bid <obj> cause,won,bid,cause
"The government is introducing a new law to protect the rights of LGBTQ+ people, in an effort to ensure equal access to services and opportunities.",<triplet> introducing <subj> ensure <obj> intend,introducing,ensure,intend
The United Nations has adopted a new framework that will require all countries to promote human rights and combat discrimination.,<triplet> framework <subj> promote <obj> enable,framework,promote,enable
The violence in Yuen Long has heightened tensions and fears of further attacks .,<triplet> The violence in Yuen Long <subj> heightened tensions and fears of further attacks <obj> cause,The violence in Yuen Long,heightened tensions and fears of further attacks,cause
"NATIONAL Rallies mark Nandigram anniversary March 15 , 2008 00:00 IST KOLKATA : Processions and rallies were taken out at Nandigram and here on Friday , first anniversary of the police firing and subsequent violence , which claimed 14 lives in the village in East Midnapore district .",<triplet> first anniversary of the police firing and subsequent violence <subj> Processions and rallies were taken out at Nandigram and here on Friday <obj> cause,first anniversary of the police firing and subsequent violence,Processions and rallies were taken out at Nandigram and here on Friday,cause
"NATIONAL Rallies mark Nandigram anniversary March 15 , 2008 00:00 IST KOLKATA : Processions and rallies were taken out at Nandigram and here on Friday , first anniversary of the police firing and subsequent violence , which claimed 14 lives in the village in East Midnapore district .",<triplet> the police firing and subsequent violence <subj> which claimed 14 lives in the village in East Midnapore district <obj> cause,the police firing and subsequent violence,which claimed 14 lives in the village in East Midnapore district,cause
"KARNATAKA Protest against poor roads September 12 , 2006 00:00 IST Staff Correspondent Agitators arrested , released Gulbarga : Some people from Aland , led by MLA B.R. Patil , observed a dawn-to-dusk rasta roko in protest against poor quality roads to their town in Gulbarga on Monday .","<triplet> against poor quality roads to their town in Gulbarga on Monday <subj> Some people from Aland , led by MLA B.R. Patil , observed a dawn-to-dusk rasta roko in protest <obj> cause",against poor quality roads to their town in Gulbarga on Monday,"Some people from Aland , led by MLA B.R. Patil , observed a dawn-to-dusk rasta roko in protest",cause
"KARNATAKA Protest against poor roads September 12 , 2006 00:00 IST Staff Correspondent Agitators arrested , released Gulbarga : Some people from Aland , led by MLA B.R. Patil , observed a dawn-to-dusk rasta roko in protest against poor quality roads to their town in Gulbarga on Monday .","<triplet> in protest against poor quality roads to their town in Gulbarga on Monday <subj> Some people from Aland , led by MLA B.R. Patil , observed a dawn-to-dusk rasta roko <obj> cause",in protest against poor quality roads to their town in Gulbarga on Monday,"Some people from Aland , led by MLA B.R. Patil , observed a dawn-to-dusk rasta roko",cause
The government has implemented a series of regulations to prevent companies from exploiting workers.,<triplet> Regulations <subj> Exploiting <obj> prevent,Regulations,Exploiting,prevent
The United Nations has imposed an arms embargo on Somalia in an effort to prevent further violence in the region.,<triplet> Arms embargo <subj> Violence <obj> prevent,Arms embargo,Violence,prevent
"Three persons , two of them brick kiln owners , were arrested today in connection with the incident of firing on labourers during a protest held by them last evening in Beas .","<triplet> in connection with the incident of firing on labourers during a protest held by them last evening in Beas <subj> Three persons , two of them brick kiln owners , were arrested today <obj> cause",in connection with the incident of firing on labourers during a protest held by them last evening in Beas,"Three persons , two of them brick kiln owners , were arrested today",cause
This false propaganda is being carried out against the agitation in Singur .,<triplet> against the agitation in Singur <subj> This false propaganda is being carried out <obj> cause,against the agitation in Singur,This false propaganda is being carried out,cause
"The White House yesterday disclosed that Kuwait's ousted government has formally asked the U.S. to enforce the total trade embargo the United Nations has imposed on Iraq, allowing the U.S. and other nations to immediately begin stopping ships carrying Iraqi goods.",<triplet> enforce <subj> stopping <obj> enable,enforce,stopping,enable
Volunteers from the alliance have been camping at Queen 's Pier since April 26 in an attempt to save it from being demolished in a harbour reclamation plan .,<triplet> to save it from being demolished in a harbour reclamation plan <subj> Volunteers from the alliance have been camping at Queen 's Pier since April 26 <obj> cause,to save it from being demolished in a harbour reclamation plan,Volunteers from the alliance have been camping at Queen 's Pier since April 26,cause
The United Nations has imposed an arms embargo on North Korea in an effort to prevent the country from developing nuclear weapons.,<triplet> Arms embargo <subj> Nuclear weapons <obj> prevent,Arms embargo,Nuclear weapons,prevent
The United Nations has passed a resolution calling for an end to the use of cluster bombs in conflict zones.,<triplet> resolution <subj> end <obj> enable,resolution,end,enable
"The recent rash of bombings in Gauteng reflected rising discontent among Afrikaners , the Afrikaner Group of 63 said on Thursday .",<triplet> rising discontent among Afrikaners <subj> The recent rash of bombings in Gauteng <obj> cause,rising discontent among Afrikaners,The recent rash of bombings in Gauteng,cause
",The government passed a law to increase funding for renewable energy projects, in an effort to reduce carbon emissions.",<triplet> passed <subj> reduce <obj> intend,passed,reduce,intend
The government has implemented a series of trade agreements to open up new markets and increase exports.,<triplet> implemented <subj> open <obj> intend,implemented,open,intend
The government has also announced plans to invest in research and development to create new technologies and products.,<triplet> invest <subj> create <obj> enable,invest,create,enable
The United Nations has adopted a new treaty that will require all countries to reduce their emissions of greenhouse gases.,<triplet> treaty <subj> reduce <obj> enable,treaty,reduce,enable
The United Nations has imposed economic sanctions on a country in an effort to prevent it from supporting terrorist activities.,<triplet> sanctions <subj> supporting <obj> prevent,sanctions,supporting,prevent
The government passed a law to increase access to public parks and reduce environmental degradation.,<triplet> passed <subj> reduce <obj> intend,passed,reduce,intend
The United Nations has also adopted a resolution to promote the protection of the environment and combat climate change.,<triplet> resolution <subj> promote <obj> enable,resolution,promote,enable
The protests were initially focused on a bill that that would make it easier to extradite people to China from the semi-autonomous city .,<triplet> were initially focused on a bill that that would make it easier to extradite people to China from the semi-autonomous city <subj> The protests <obj> cause,were initially focused on a bill that that would make it easier to extradite people to China from the semi-autonomous city,The protests,cause
"Demands made in the July strike have all been met by the government and there is no reason why they should go on strike within such a short period , "" road transport secretary said at a press conference in Delhi on Monday .",<triplet> Demands made in the July strike have all been met by the government <subj> there is no reason why they should go on strike within such a short period <obj> cause,Demands made in the July strike have all been met by the government,there is no reason why they should go on strike within such a short period,cause
The United States has imposed economic sanctions on Iran in an effort to prevent the country from developing nuclear weapons.,<triplet> Sanctions <subj> Nuclear <obj> prevent,Sanctions,Nuclear,prevent
"Chan reported the threats to police , who said they would increase patrols near his home .",<triplet> Chan reported the threats to police <subj> who said they would increase patrols near his home <obj> cause,Chan reported the threats to police,who said they would increase patrols near his home,cause
"TDP district president Karanam Balaramakrishna Murthi , who went to the village along with the team , blamed the police for remaining mute spectators to the one-hour ‘ sordid drama .","<triplet> remaining mute spectators to the one-hour ‘ sordid drama <subj> TDP district president Karanam Balaramakrishna Murthi , who went to the village along with the team , blamed the police <obj> cause",remaining mute spectators to the one-hour ‘ sordid drama,"TDP district president Karanam Balaramakrishna Murthi , who went to the village along with the team , blamed the police",cause
The United Nations has imposed an arms embargo on Libya in an effort to prevent the country from destabilizing the region.,<triplet> embargo <subj> destabilizing <obj> prevent,embargo,destabilizing,prevent
The government passed a law to increase access to job training in an effort to reduce unemployment.,<triplet> passed <subj> reduce <obj> intend,passed,reduce,intend
The government has implemented a series of laws to protect the public from fraudulent activities.,<triplet> Laws <subj> Fraudulent Activities <obj> prevent,Laws,Fraudulent Activities,prevent
The World Bank has passed a resolution to increase the amount of funding it provides to developing countries.,<triplet> resolution <subj> increase <obj> enable,resolution,increase,enable
The United Nations has imposed an arms embargo on Syria in an effort to prevent the government from committing human rights abuses.,<triplet> Arms embargo <subj> abuses <obj> prevent,Arms embargo,abuses,prevent
"But he would not apologise for the protest , saying students ’ voices need to be heard .",<triplet> saying students ’ voices need to be heard <subj> he would not apologise for the protest <obj> cause,saying students ’ voices need to be heard,he would not apologise for the protest,cause
"Scores of students , teachers and women rights organisations had yesterday staged a protest outside college demanding Thampu 's resignation for shielding the accused .","<triplet> demanding Thampu 's resignation for shielding the accused <subj> Scores of students , teachers and women rights organisations had yesterday staged a protest outside college <obj> cause",demanding Thampu 's resignation for shielding the accused,"Scores of students , teachers and women rights organisations had yesterday staged a protest outside college",cause
"The labour minister 's announcement followed countrywide public hearings on a new minimum wage for the agriculture sector , which were prompted by violent protests in parts of the Western Cape .",<triplet> countrywide public hearings on a new minimum wage for the agriculture sector <subj> The labour minister 's announcement <obj> cause,countrywide public hearings on a new minimum wage for the agriculture sector,The labour minister 's announcement,cause
"The labour minister 's announcement followed countrywide public hearings on a new minimum wage for the agriculture sector , which were prompted by violent protests in parts of the Western Cape .",<triplet> violent protests in parts of the Western Cape <subj> countrywide public hearings on a new minimum wage for the agriculture sector <obj> cause,violent protests in parts of the Western Cape,countrywide public hearings on a new minimum wage for the agriculture sector,cause
"VISAKHAPATNAM DCI employees go on mass casual leave , threaten to intensify stir",<triplet> threaten to intensify stir <subj> DCI employees go on mass casual leave <obj> cause,threaten to intensify stir,DCI employees go on mass casual leave,cause
The clashes were allegedly sparked off by some local people pelting stones at the police party .,<triplet> some local people pelting stones at the police party <subj> The clashes were allegedly sparked off <obj> cause,some local people pelting stones at the police party,The clashes were allegedly sparked off,cause
The government implemented a new policy to promote public-private partnerships.,<triplet> implemented <subj> promote <obj> intend,implemented,promote,intend
India stalled cricketing ties in the aftermath of 2008 Mumbai terrorist attack .,<triplet> 2008 Mumbai terrorist attack <subj> India stalled cricketing ties <obj> cause,2008 Mumbai terrorist attack,India stalled cricketing ties,cause
"The government has passed a law to increase access to public transportation, in an effort to reduce traffic congestion.",<triplet> passed <subj> reduce <obj> intend,passed,reduce,intend
"Four days ago , guard Rakesh Jha had gone on a hunger strike at Churchgate Station after he was denied leave despite applying two months back .",<triplet> he was denied leave despite applying two months back <subj> guard Rakesh Jha had gone on a hunger strike at Churchgate Station <obj> cause,he was denied leave despite applying two months back,guard Rakesh Jha had gone on a hunger strike at Churchgate Station,cause
"Four days ago , guard Rakesh Jha had gone on a hunger strike at Churchgate Station after he was denied leave despite applying two months back .",<triplet> applying two months back <subj> he was denied leave <obj> cause,applying two months back,he was denied leave,cause
Three Arrested in Bimbola Clash 18th June 2014 09:39 AM DHENKANAL : Three persons were arrested on Tuesday for their alleged involvement in killing of a naib sarpanch in a clash between members of two communities at Bimbola village under Dhenkanal Sadar police limits on Monday .,<triplet> their alleged involvement in killing of a naib sarpanch in a clash between members of two communities at Bimbola village under Dhenkanal Sadar police limits on Monday <subj> Three persons were arrested on Tuesday <obj> cause,their alleged involvement in killing of a naib sarpanch in a clash between members of two communities at Bimbola village under Dhenkanal Sadar police limits on Monday,Three persons were arrested on Tuesday,cause
Three Arrested in Bimbola Clash 18th June 2014 09:39 AM DHENKANAL : Three persons were arrested on Tuesday for their alleged involvement in killing of a naib sarpanch in a clash between members of two communities at Bimbola village under Dhenkanal Sadar police limits on Monday .,<triplet> a clash between members of two communities at Bimbola village under Dhenkanal Sadar police limits on Monday <subj> killing of a naib sarpanch <obj> cause,a clash between members of two communities at Bimbola village under Dhenkanal Sadar police limits on Monday,killing of a naib sarpanch,cause
"NALGONDA : Condition of fasting IPC students worsens August 07 , 2014 00:00 IST MGU agrees to arrange a meeting of students with In-Charge Vice-Chancellor The condition of IPC students , Mahatma Gandhi University ( MGU ) , is fast deteriorating with their hunger strike entering the third day on Wednesday .","<triplet> their hunger strike entering the third day on Wednesday <subj> The condition of IPC students , Mahatma Gandhi University ( MGU ) , is fast deteriorating <obj> cause",their hunger strike entering the third day on Wednesday,"The condition of IPC students , Mahatma Gandhi University ( MGU ) , is fast deteriorating",cause
"The government has implemented a new policy to provide incentives for businesses to invest in renewable energy sources, in an effort to reduce greenhouse gas emissions.",<triplet> implemented <subj> reduce <obj> intend,implemented,reduce,intend
The Cheriyathura clash was the outcome of a petty scuffle between two sections .,<triplet> a petty scuffle between two sections <subj> The Cheriyathura clash <obj> cause,a petty scuffle between two sections,The Cheriyathura clash,cause
"Three Armymen , including a Subedar and two jawans , were injured when the villagers threw stones , sources said .","<triplet> the villagers threw stones <subj> Three Armymen , including a Subedar and two jawans , were injured <obj> cause",the villagers threw stones,"Three Armymen , including a Subedar and two jawans , were injured",cause
The government has implemented a series of laws to prevent the illegal trade of wildlife.,<triplet> laws <subj> wildlife <obj> prevent,laws,wildlife,prevent
"The government passed a law to increase access to childcare, in an effort to promote gender equality.",<triplet> passed <subj> promote <obj> intend,passed,promote,intend
The warrants to buy 5 common shares at 30 cents a share will provide shareholders with an additional opportunity to invest in the company.,<triplet> warrants <subj> invest <obj> enable,warrants,invest,enable
"' SC Ruling Gives Hope for Death Row Convicts in Rajiv Case ' 21st January 2014 03:18 PM The Supreme Court verdict commuting death penalty of 15 convicts has given hope that the three death row convicts in the Rajiv Gandhi assassination case could get similar relief , MDMK leader Vaiko said on Tuesday .",<triplet> The Supreme Court verdict commuting death penalty of 15 convicts <subj> has given hope that the three death row convicts in the Rajiv Gandhi assassination case could get similar relief <obj> cause,The Supreme Court verdict commuting death penalty of 15 convicts,has given hope that the three death row convicts in the Rajiv Gandhi assassination case could get similar relief,cause
"Co-operative Governance Minister Sicelo Shicka met protesting residents of Tshing township on Monday to discuss service delivery , the North West African National Congress said .",<triplet> to discuss service delivery <subj> Co-operative Governance Minister Sicelo Shicka met protesting residents of Tshing township on Monday <obj> cause,to discuss service delivery,Co-operative Governance Minister Sicelo Shicka met protesting residents of Tshing township on Monday,cause
The rights offering will enable Canadian shareholders to purchase additional shares at a discounted rate.,<triplet> offering <subj> purchase <obj> enable,offering,purchase,enable
"The government of India has recently passed a law that requires all companies to provide health insurance to their employees, in order to ensure that all citizens have access to quality healthcare.",<triplet> law <subj> ensure <obj> enable,law,ensure,enable
People were also protesting against the secretive manner in which the government dealt with the cremation of the girl .,<triplet> against the secretive manner in which the government dealt with the cremation of the girl <subj> People were also protesting <obj> cause,against the secretive manner in which the government dealt with the cremation of the girl,People were also protesting,cause
The government has implemented a series of measures to prevent the spread of extremism.,<triplet> measures <subj> extremism <obj> prevent,measures,extremism,prevent
"Kochi : Lawyers boycott courts July 23 , 2016 00:00 IST For the second day , lawyers boycotted the High Court and other courts in the city on Friday in response to a call by the Kerala High Court Advocates ’ Association .",<triplet> a call by the Kerala High Court Advocates ’ Association <subj> lawyers boycotted the High Court and other courts in the city on Friday <obj> cause,a call by the Kerala High Court Advocates ’ Association,lawyers boycotted the High Court and other courts in the city on Friday,cause
The government has passed legislation to protect the rights of workers and ensure fair wages.,<triplet> legislation <subj> protect <obj> enable,legislation,protect,enable
The government is introducing a new tax on luxury goods in an effort to raise revenue for social programs.,<triplet> introducing <subj> raise <obj> intend,introducing,raise,intend
The European Union has proposed a new regulation to ensure the protection of personal data.,<triplet> regulation <subj> ensure <obj> enable,regulation,ensure,enable
Rajagopal concluded the fast in the evening when the Home Minister ’ s office informed BJP leaders about the report sent to the Election Commission .,<triplet> the Home Minister ’ s office informed BJP leaders about the report sent to the Election Commission <subj> Rajagopal concluded the fast in the evening <obj> cause,the Home Minister ’ s office informed BJP leaders about the report sent to the Election Commission,Rajagopal concluded the fast in the evening,cause
"Milan are set to secure his replacement, so the Lille goalkeeper Mike Maignan underwent a medical with the 'Rossoneri' on Tuesday ahead of a move from the newly-crowned French champions.",<triplet> Milan <subj> medical <obj> enable,Milan,medical,enable
"The merger would also create a financial institution with a presence in more than 20 countries, giving it a global reach and allowing it to compete more effectively in the global market, while also providing a more diversified portfolio of services.",<triplet> merger <subj> providing <obj> enable,merger,providing,enable
This year ’ s rally comes against the backdrop of unprecedented anti-government protests over the past three weeks that have drawn millions and anger over police using tear gas and rubber bullets to clear crowds .,<triplet> unprecedented anti-government protests over the past three weeks that have drawn millions and anger over police using tear gas and rubber bullets to clear crowds <subj> This year ’ s rally comes <obj> cause,unprecedented anti-government protests over the past three weeks that have drawn millions and anger over police using tear gas and rubber bullets to clear crowds,This year ’ s rally comes,cause
This year ’ s rally comes against the backdrop of unprecedented anti-government protests over the past three weeks that have drawn millions and anger over police using tear gas and rubber bullets to clear crowds .,<triplet> police using tear gas and rubber bullets to clear crowds <subj> anger <obj> cause,police using tear gas and rubber bullets to clear crowds,anger,cause
This year ’ s rally comes against the backdrop of unprecedented anti-government protests over the past three weeks that have drawn millions and anger over police using tear gas and rubber bullets to clear crowds .,<triplet> to clear crowds <subj> police using tear gas and rubber bullets <obj> cause,to clear crowds,police using tear gas and rubber bullets,cause
The World Health Organization has adopted a new resolution to promote access to healthcare for all.,<triplet> resolution <subj> access <obj> enable,resolution,access,enable
The government has also announced plans to invest in healthcare initiatives to improve the quality of life for citizens.,<triplet> invest <subj> improve <obj> enable,invest,improve,enable
"The court complex turned into a battle zone as the rampaging advocates targeted journalists , particularly electronic media crew , who had gathered to cover the appearance of mining baron G Janardhana Reddy before a court in an illegal mining case .",<triplet> the rampaging advocates targeted journalists <subj> The court complex turned into a battle zone <obj> cause,the rampaging advocates targeted journalists,The court complex turned into a battle zone,cause
"The court complex turned into a battle zone as the rampaging advocates targeted journalists , particularly electronic media crew , who had gathered to cover the appearance of mining baron G Janardhana Reddy before a court in an illegal mining case .","<triplet> to cover the appearance of mining baron G Janardhana Reddy before a court in an illegal mining case <subj> journalists , particularly electronic media crew , who had gathered <obj> cause",to cover the appearance of mining baron G Janardhana Reddy before a court in an illegal mining case,"journalists , particularly electronic media crew , who had gathered",cause
"The gross proceeds from the sale of the notes, which will be due on Nov. 1, 2004, will be used to reduce existing debt and for general corporate purposes, the company said. ",<triplet> used <subj> reduce <obj> intend,used,reduce,intend
"Some protesters wore T-shirts bearing the image of Mbombela municipal speaker Jimmy Mohlala , who was shot dead in January 2009 after blowing the whistle on companies and individuals he claimed were involved in tender corruption .","<triplet> blowing the whistle on companies and individuals he claimed were involved in tender corruption <subj> Mbombela municipal speaker Jimmy Mohlala , who was shot dead in January 2009 <obj> cause",blowing the whistle on companies and individuals he claimed were involved in tender corruption,"Mbombela municipal speaker Jimmy Mohlala , who was shot dead in January 2009",cause
The government introduced a new program to provide free education to disadvantaged children.,<triplet> introduced <subj> provide <obj> intend,introduced,provide,intend
"Newsprint results continued to be depressed, the company added, because of industrywide price discounting.    ",<triplet> discounting <subj> continued <obj> cause,discounting,continued,cause
"The government has implemented a series of measures to prevent the spread of corruption, including increased transparency and increased penalties for those who engage in corrupt activities.",<triplet> Transparency <subj> Corruption <obj> prevent,Transparency,Corruption,prevent
"KARNATAKA Protest against permitting bar in residential area July 03 , 2008 00:00 IST Up in arms :",<triplet> against permitting bar in residential area <subj> Protest <obj> cause,against permitting bar in residential area,Protest,cause
Khan 's boycott will be largely symbolic because he is seen as a ceremonial head .,<triplet> he is seen as a ceremonial head <subj> Khan 's boycott will be largely symbolic <obj> cause,he is seen as a ceremonial head,Khan 's boycott will be largely symbolic,cause
Activists assemble The activists assembled in front of the office to prevent Mr. Ranjth from entering the building .,<triplet> to prevent Mr. Ranjth from entering the building <subj> The activists assembled in front of the office <obj> cause,to prevent Mr. Ranjth from entering the building,The activists assembled in front of the office,cause
""" We decided to exclude Mumbai , where the ' rail roko ' demonstrations were slated from 11 AM to 12 noon , to avoid inconvenience to suburban commuters , "" MPCC spokesperson Sachin Sawant told PTI .","<triplet> to avoid inconvenience to suburban commuters <subj> We decided to exclude Mumbai , where the ' rail roko ' demonstrations were slated from 11 AM to 12 noon <obj> cause",to avoid inconvenience to suburban commuters,"We decided to exclude Mumbai , where the ' rail roko ' demonstrations were slated from 11 AM to 12 noon",cause
"Hassan : Residents protest delay in improving road September 25 , 2013 00:00 IST Residents of Belur on Monday protested the delay in repairing the main road in the town by planting banana saplings in the middle of the road .",<triplet> the delay in repairing the main road in the town <subj> Residents of Belur on Monday protested <obj> cause,the delay in repairing the main road in the town,Residents of Belur on Monday protested,cause
"Hassan : Residents protest delay in improving road September 25 , 2013 00:00 IST Residents of Belur on Monday protested the delay in repairing the main road in the town by planting banana saplings in the middle of the road .",<triplet> Residents of Belur on Monday protested the delay in repairing the main road in the town <subj> planting banana saplings in the middle of the road <obj> cause,Residents of Belur on Monday protested the delay in repairing the main road in the town,planting banana saplings in the middle of the road,cause
",The government passed a law to increase funding for research into alternative energy sources, in an effort to reduce dependence on fossil fuels.",<triplet> passed <subj> reduce <obj> intend,passed,reduce,intend
"Now , autos catch strike fever - Indian Express Express News Service , Express News Service : Pune , Sat Jan 17 2009 , 01:38 hrs MUSCLE POWER : Enforcers drag out passengers , vow to resume unless cops let off",<triplet> cops let off <subj> vow to resume <obj> cause,cops let off,vow to resume,cause
The company has also announced that it will be investing in new social programs to support the local community.,<triplet> investing <subj> support <obj> enable,investing,support,enable
"Local drivers have allegedly been attacking the vehicles and threatening foreign drivers , who they accuse of taking jobs meant for locals .",<triplet> who they accuse of taking jobs meant for locals <subj> Local drivers have allegedly been attacking the vehicles and threatening foreign drivers <obj> cause,who they accuse of taking jobs meant for locals,Local drivers have allegedly been attacking the vehicles and threatening foreign drivers,cause
The government has implemented a series of measures to prevent the spread of hate speech.,<triplet> measures <subj> hate <obj> prevent,measures,hate,prevent
"( Photo : Reuters ) MUMBAI ( Reuters ): State-run banks remained shut on Friday as a nationwide strike by their employees demanding higher wages and pensions entered the second day , hurting volumes in the currency and bond markets .",<triplet> a nationwide strike by their employees <subj> State-run banks remained shut on Friday <obj> cause,a nationwide strike by their employees,State-run banks remained shut on Friday,cause
"( Photo : Reuters ) MUMBAI ( Reuters ): State-run banks remained shut on Friday as a nationwide strike by their employees demanding higher wages and pensions entered the second day , hurting volumes in the currency and bond markets .",<triplet> demanding higher wages and pensions <subj> a nationwide strike by their employees <obj> cause,demanding higher wages and pensions,a nationwide strike by their employees,cause
"( Photo : Reuters ) MUMBAI ( Reuters ): State-run banks remained shut on Friday as a nationwide strike by their employees demanding higher wages and pensions entered the second day , hurting volumes in the currency and bond markets .",<triplet> State-run banks remained shut on Friday <subj> hurting volumes in the currency and bond markets <obj> cause,State-run banks remained shut on Friday,hurting volumes in the currency and bond markets,cause
"During the turbulent period last year-end in the capital , the demonstrations against the rape and murder of a 23 - year-old paramedical student reached the gates of Rashtrapati Bhavan seeking his intervention .",<triplet> seeking his intervention <subj> the demonstrations against the rape and murder of a 23 - year-old paramedical student reached the gates of Rashtrapati Bhavan <obj> cause,seeking his intervention,the demonstrations against the rape and murder of a 23 - year-old paramedical student reached the gates of Rashtrapati Bhavan,cause
